Date,UK EQUITY,EUR EQUITY,NA EQUITY,ASIA EQUITY,JPN EQUITY,EM EQUITY,WORLD EQUITY EX UK,ABSOLUTE RETURN,PROPERTY,GILTS,GBP CREDIT,LIBOR,LIBOR PLUS 3,GLOBAL AGG,GLOBAL IG,EM DEBT,GLOBAL HY,GBP NON-GILTS BBB 1-5YRS
31/12/2007,0.002593343,0.026076692,0.02618277,0.023979568,-0.022343368,0.040210792,0.025273071,0.002696146,-0.038159059,0.013609156,0.012247349,0.004994792,0.007494792,0.033598445,0.033570839,0.043587554,0.001355289,0.011112436
31/01/2008,-0.090641858,-0.126054511,-0.061671194,-0.138617754,-0.031707964,-0.13768184,-0.081620661,-0.027215216,-0.015819934,0.006704591,-0.005006673,0.00465,0.00715,0.026582948,0.01181727,0.00532328,-0.016385975,0.000606533
29/02/2008,0.007663127,0.025453174,-0.029151163,0.047895518,0.006436908,0.071759149,-0.006533607,0.008266136,-0.010294176,0.005340077,-0.020226061,0.004782292,0.007282292,0.019968904,0.009868395,9.65251E-05,-0.008838652,-0.001305586
31/03/2008,-0.020750975,0.013368422,-0.01015856,-0.064124765,-0.045821033,-0.056187668,-0.011048909,-0.02480532,-0.00828965,0.013454934,-0.005502734,0.005006775,0.007506775,0.021136591,0.000661548,-0.001110602,3.47236E-05,-0.00061275
30/04/2008,0.060686091,0.030418534,0.05211999,0.078799982,0.070916897,0.07743287,0.048957909,0.035139818,-0.004793332,-0.020891976,0.009339206,0.004865625,0.007365625,-0.018645288,0.001548113,0.011767384,0.039933617,-0.012702517
31/05/2008,-0.00199014,0.008992559,0.019831766,-0.018799171,0.027597181,0.018190036,0.016253045,-0.006812678,-0.007099512,-0.018921462,-0.009419836,0.004889067,0.007389067,-0.009296805,-0.005147185,0.004002865,0.005102731,-0.00618286
30/06/2008,-0.073265506,-0.109540553,-0.092583805,-0.117727058,-0.077443189,-0.113671194,-0.092968703,-0.018132148,-0.015068849,-0.008248301,-0.013628779,0.004955208,0.007455208,-0.004550432,-0.010421546,-0.026016788,-0.027835201,-0.003488492
31/07/2008,-0.036676152,-0.023007969,-0.009214725,-0.026415435,-0.024645972,-0.037894975,-0.018915363,0.008910068,-0.013211194,0.027289845,0.01551181,0.004819275,0.007319275,0.007007789,0.001385767,0.015691154,-0.017681598,0.009050385
31/08/2008,0.048746961,0.034176524,0.092699171,0.018843752,0.040930385,0.000816096,0.073109166,0.013120721,-0.01139438,0.024912472,0.015423469,0.004794275,0.007294275,0.071222444,0.066555091,0.094606633,-0.004317029,0.010335698
30/09/2008,-0.142003429,-0.146406656,-0.075800886,-0.166647847,-0.098325282,-0.17420853,-0.104981489,-0.065109371,-0.024249738,0.009093939,-0.078845595,0.00525,0.00775,-0.001121875,-0.05778205,-0.050198744,-0.093051279,-0.041784058
31/10/2008,-0.126667265,-0.169281478,-0.097940861,-0.184535259,-0.051430358,-0.224246837,-0.113144498,0.010328536,-0.038415214,0.001479836,-0.040847452,0.004867708,0.007367708,0.063527487,0.011278028,-0.063864605,-0.190389036,-0.018342206
30/11/2008,-0.016827217,-0.026531302,-0.026588088,-0.020102115,0.03864872,-0.030550706,-0.020260507,-0.003912287,-0.052551039,0.050500764,0.021233674,0.003258333,0.005758333,0.083875942,0.071292289,0.07328871,-0.08475042,0.003011373
31/12/2008,0.036068395,0.134455584,0.072298866,0.13764228,0.150298909,0.12704618,0.090224117,0.024858656,-0.054112487,0.049231213,0.019742397,0.002308333,0.004808333,0.117304386,0.116222642,0.128561637,0.071577763,0.020925356
